"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","3T",4,0,1.8,NA,"3","2","1","1","2","2","2","3","2",5.8
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","3LzTw1",5,0,1.24,NA,"2","1.4","0.7","1.4","0.7","1.4","2","1.4","0.7",6.24
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","3LoTh",5,0,1.52,NA,"2","1.4","1.4","1.4","2","1.4","1.4","2","1.4",6.52
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","FCCoSp4",3.5,0,0.7,NA,"1","1","1","0.5","1","0.5","0.5","1","0.5",4.2
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","4Li4",4,0,1,NA,"1","1","1","1","1","1","1","1","0.5",5
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","PCoSp4",4.5,0,0.7,NA,"1","1","0.5","0.5","0.5","0.5","1","0.5","1",5.2
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","SlSt3",3.3,0,0.9,NA,"1","1","1","1","0.5","1","1","1","0.5",4.2
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"ee","BoDs3",4,0,1.26,NA,"1.4","0.7","1.4","1.4","0.7","1.4","0.7","1.4","1.4",5.26
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"pc","Skating Skills",NA,NA,NA,0.8,"9.25","9.00","8.50","8.50","8.75","8.75","8.50","9.00","8.25",8.6
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"9.00","9.00","8.25","8.25","8.25","8.50","8.25","8.75","7.50",8.3
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"9.25","9.50","8.75","8.50","8.50","9.00","8.75","8.75","8.00",8.7
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"9.50","9.25","8.50","8.50","8.50","8.75","8.75","8.50","7.75",8.6
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,NA,"pc","Interpretation",NA,NA,NA,0.8,"9.25","9.25","8.50","8.25","8.75","8.75","8.75","9.00","7.75",8.6
1,"SHEN Xue / ZHAO Hongbo","CHN",1,76.66,42.42,34.24,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","3FTh",5.5,0,1.64,NA,"2","1.4","2","1.4","1.4","2","1.4","2","1.4",7.14
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","3T",4,0,1.2,NA,"1","1","2","1","1","1","2","2","2",5.2
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","3LzTw1",5,0,0.84,NA,"0.7","0.7","1.4","1.4","0.7","-1.4","0.7","1.4","-1.4",5.84
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","FCCoSp4",3.5,0,0.5,NA,"-0.3","0.5","1","1","0","0.5","0.5","1","0",4
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","PCoSp4",4.5,0,0.8,NA,"0","1","1","1","0.5","0.5","1","1","1",5.3
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","BoDs4",4.5,0,1.26,NA,"0.7","1.4","1.4","0.7","1.4","1.4","1.4","1.4","1.4",5.76
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","SlSt3",3.3,0,0.8,NA,"1","0.5","1","0.5","0.5","1","1","1.5","0.5",4.1
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"ee","4Li4",4,0,0.9,NA,"1","1","1","1","0.5","1","0.5","1","0.5",4.9
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"pc","Skating Skills",NA,NA,NA,0.8,"8.25","8.75","8.75","8.50","8.25","8.00","8.25","9.00","9.00",8.4
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"8.50","8.25","8.75","8.25","8.00","8.00","8.25","9.50","9.00",8.25
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"8.75","8.50","9.00","8.50","8.25","8.50","8.50","9.50","9.25",8.55
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"8.50","8.50","9.25","8.50","8.50","8.00","8.50","9.00","9.50",8.5
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,NA,"pc","Interpretation",NA,NA,NA,0.8,"8.75","8.50","9.00","8.50","8.25","8.25","8.25","9.50","9.00",8.45
2,"SAVCHENKO Aliona / SZOLKOWY Robin","GER",20,75.96,42.24,33.72,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","3T",4,0,1.6,NA,"1","2","2","2","1","2","2","2","1",5.6
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","3LzTw1",5,0,0.7,NA,"0.7","0.7","1.4","0.7","0.7","-1.4","0","0.7","1.4",5.7
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","3LoTh",5,0,0.98,NA,"0","2","1.4","1.4","0.7","0.7","0.7","0.7","1.4",5.98
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","4Li4",4,0,0.9,NA,"0.5","1","1","1","0.5","0.5","1","1","1",4.9
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","SlSt3",3.3,0,0.7,NA,"0","0.5","1","1","1","1","1","0.5","0.5",4
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","BoDs4",4.5,0,0.84,NA,"0","1.4","1.4","0.7","0.7","0.7","0.7","1.4","0.7",5.34
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","FCCoSp3",3,0,0.9,NA,"0.5","1","1","1","1","1","0.5","1","1",3.9
3,"KAVAGUTI Yuko / SMIRNOV Alexander","RUS",16,74.16,40.92,33.24,NA,"ee","PCoSp4",4.5,0,1,NA,"0.5","1","1","1","1","0.5","1","1","1",5.5
